<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20071127,000000,12750.0000,12850.0000,12640.0000,12640.0000,164250,0
FPT,D,20071128,000000,12540.0000,12640.0000,12540.0000,12540.0000,140410,0
FPT,D,20071129,000000,12590.0000,12640.0000,12430.0000,12430.0000,128960,0
FPT,D,20071130,000000,12430.0000,12490.0000,12380.0000,12380.0000,149250,0
FPT,D,20071203,000000,12380.0000,12490.0000,12380.0000,12430.0000,187600,0
FPT,D,20071204,000000,12430.0000,12430.0000,12280.0000,12280.0000,334400,0
FPT,D,20071205,000000,12230.0000,12230.0000,12070.0000,12070.0000,257280,0
FPT,D,20071206,000000,11910.0000,11970.0000,11860.0000,11970.0000,350710,0
FPT,D,20071207,000000,11970.0000,12230.0000,11970.0000,12070.0000,203800,0
FPT,D,20071210,000000,11970.0000,12070.0000,11860.0000,11860.0000,301700,0
FPT,D,20071211,000000,11710.0000,11760.0000,11650.0000,11760.0000,327840,0
FPT,D,20071212,000000,11600.0000,11970.0000,11600.0000,11810.0000,329220,0
FPT,D,20071213,000000,11710.0000,11760.0000,11650.0000,11650.0000,291570,0
FPT,D,20071214,000000,11500.0000,11710.0000,11500.0000,11550.0000,20482,0
FPT,D,20071217,000000,11600.0000,11600.0000,11500.0000,11500.0000,203240,0
FPT,D,20071218,000000,11860.0000,11860.0000,11550.0000,11650.0000,264940,0
FPT,D,20071219,000000,11650.0000,11970.0000,11650.0000,11970.0000,353490,0
FPT,D,20071220,000000,11970.0000,11970.0000,11710.0000,11710.0000,236310,0
FPT,D,20071221,000000,11710.0000,11760.0000,11650.0000,11710.0000,168200,0
FPT,D,20071224,000000,11710.0000,11710.0000,11600.0000,11600.0000,123130,0
FPT,D,20071225,000000,11600.0000,11600.0000,11550.0000,11550.0000,121320,0
FPT,D,20071226,000000,11600.0000,11650.0000,11550.0000,11600.0000,211500,0
FPT,D,20071227,000000,11600.0000,11600.0000,11550.0000,11550.0000,227980,0
FPT,D,20071228,000000,11550.0000,11600.0000,11550.0000,11600.0000,172550,0
FPT,D,20080102,000000,11500.0000,11550.0000,11390.0000,11390.0000,113410,0
FPT,D,20080103,000000,11240.0000,11290.0000,11190.0000,11190.0000,211160,0
FPT,D,20080104,000000,11030.0000,11080.0000,10980.0000,11030.0000,180890,0
FPT,D,20080107,000000,10930.0000,10930.0000,10670.0000,10720.0000,232200,0
FPT,D,20080108,000000,10870.0000,10870.0000,10820.0000,10820.0000,214660,0
FPT,D,20080109,000000,10670.0000,10670.0000,10510.0000,10510.0000,159580,0
FPT,D,20080110,000000,10200.0000,10250.0000,9990.0000,9990.0000,401090,0
FPT,D,20080111,000000,10150.0000,10300.0000,10150.0000,10250.0000,188290,0
FPT,D,20080114,000000,10250.0000,10250.0000,10040.0000,10040.0000,239760,0
FPT,D,20080115,000000,9890.0000,9940.0000,9830.0000,9830.0000,337320,0
FPT,D,20080116,000000,10250.0000,10300.0000,10150.0000,10300.0000,331740,0
FPT,D,20080117,000000,10770.0000,10770.0000,10200.0000,10350.0000,387040,0
FPT,D,20080118,000000,10150.0000,10670.0000,10150.0000,10510.0000,15233,0
FPT,D,20080121,000000,9990.0000,10090.0000,9990.0000,9990.0000,501440,0
FPT,D,20080122,000000,9520.0000,9520.0000,9520.0000,9520.0000,202800,0
FPT,D,20080123,000000,9050.0000,9050.0000,9050.0000,9050.0000,92540,0
FPT,D,20080124,000000,9470.0000,9470.0000,8840.0000,8840.0000,430040,0
FPT,D,20080125,000000,8840.0000,9260.0000,8840.0000,9260.0000,292790,0
FPT,D,20080128,000000,9210.0000,9470.0000,9210.0000,9470.0000,19006,0
FPT,D,20080129,000000,9470.0000,9940.0000,9470.0000,9940.0000,213390,0
FPT,D,20080130,000000,10410.0000,10410.0000,10250.0000,10410.0000,352990,0
